departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,FECHA,ANO,MES
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN,2010-01-01,2010,1
ATLÁNTICO,SOLEDAD,08758000,NO REPORTADO,01/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,2,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-01,2010,1
BOLÍVAR,MAGANGUÉ,13430000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-01,2010,1
CHOCÓ,ISTMINA,27361026,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-01,2010,1
GUAJIRA,MAICAO,44430000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
HUILA,GARZÓN,41298000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
HUILA,SAN AGUSTÍN,41668000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
SANTANDER,LA BELLEZA,68377000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-01,2010,1
SANTANDER,OCAMONTE,68498000,NO REPORTADO,01/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
SUCRE,SINCELEJO,70001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
VALLE,CALI,76001000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,2010,1
VALLE,CARTAGO,76147000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,2010,1
AMAZONAS,LETICIA,91001000,NO REPORTADO,02/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
ANTIOQUIA,MEDELLÍN,05001005,NO REPORTADO,02/01/2010,MASCULINO,MENORES,2,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-02,2010,1
ATLÁNTICO,SABANAGRANDE,08634000,NO REPORTADO,02/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
CUNDINAMARCA,FUSAGASUGÁ,25290000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
CUNDINAMARCA,VILLAPINZÓN,25873000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-02,2010,1
VALLE,CALI,76001000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-02,2010,1
VALLE,CALI,76001000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,2010,1
AMAZONAS,LETICIA,91798000,NO REPORTADO,03/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-03,2010,1
HUILA,NEIVA,41001000,NO REPORTADO,03/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 218. PORNOGRAFÍA CON MENORES,2010-01-03,2010,1
MAGDALENA,SANTA MARTA,47001000,NO REPORTADO,03/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-03,2010,1
META,CUMARAL,50226000,NO REPORTADO,03/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-03,2010,1
SUCRE,SAN MARCOS,70708000,NO REPORTADO,03/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-03,2010,1
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-01-04,2010,1
