departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,fecha,tipo
PUTUMAYO,Mocoa (CT),86001000,NO REPORTADO,04/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210 A. ACOSO SEXUAL,2010-04-02,denuncia
CASANARE,Aguazul,85010000,NO REPORTADO,11/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-11-02,denuncia
VALLE,Palmira,76520000,NO REPORTADO,04/03/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-04-03,denuncia
CÓRDOBA,Montería (CT),23001000,NO REPORTADO,05/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-05-01,denuncia
VALLE,Cartago,76147000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,denuncia
GUAJIRA,Maicao,44430000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,denuncia
TOLIMA,Guamo,73319000,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-07-01,denuncia
RISARALDA,Santa Rosa de Cabal,66682000,NO REPORTADO,06/01/2010,MASCULINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-06-01,denuncia
SANTANDER,Bucaramanga (CT),68001000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-01,denuncia
SUCRE,Sincelejo (CT),70001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,denuncia
SANTANDER,Piedecuesta,68547000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-04-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,04/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-04-01,denuncia
SANTANDER,Floridablanca,68276000,NO REPORTADO,06/01/2010,MASCULINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-01,denuncia
