fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,FECHA,ANO,MES
2003-01-01,91,AMAZONAS,91001,LETICIA,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05034,ANDES,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05045,APARTADO,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05088,BELLO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,5,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05088,BELLO,URBANA,MASCULINO,ARMA DE FUEGO,RIÑA ENTRE ESPOSOS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05120,CACERES,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05197,COCORNA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05212,COPACABANA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05313,GRANADA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,2,2003-01-01,2003,1
2003-01-01,05,ANTIOQUIA,05360,ITAGUI,URBANA,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,2003,1
