departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
ATLÁNTICO,BARRANQUILLA,08001000,ARMA BLANCA / CORTOPUNZANTE,04/02/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-02-04,2010,2
NARIÑO,PASTO,52001000,ARMA BLANCA / CORTOPUNZANTE,25/02/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-02-25,2010,2
CESAR,VALLEDUPAR,20001000,ARMA BLANCA / CORTOPUNZANTE,09/03/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-03-09,2010,3
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA BLANCA / CORTOPUNZANTE,11/03/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-03-11,2010,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,31/03/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-03-31,2010,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,01/04/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-04-01,2010,4
CAQUETÁ,VALPARAÍSO,18860000,ARMA BLANCA / CORTOPUNZANTE,07/04/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-04-07,2010,4
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,11/04/2010,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-04-11,2010,4
CUNDINAMARCA,GIRARDOT,25307000,ARMA BLANCA / CORTOPUNZANTE,21/04/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-04-21,2010,4
ANTIOQUIA,MEDELLÍN,05001000,ARMA BLANCA / CORTOPUNZANTE,06/05/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-05-06,2010,5
VALLE,ROLDANILLO,76622000,ARMA BLANCA / CORTOPUNZANTE,07/05/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-05-07,2010,5
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,09/05/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-05-09,2010,5
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,25/05/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-05-25,2010,5
HUILA,NEIVA,41001000,ARMA BLANCA / CORTOPUNZANTE,08/06/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-06-08,2010,6
META,CUBARRAL,50223000,ARMA BLANCA / CORTOPUNZANTE,09/06/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-06-09,2010,6
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,11/06/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-06-11,2010,6
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,11/06/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-06-11,2010,6
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,12/06/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2010-06-12,2010,6
MAGDALENA,SANTA MARTA,47001000,ARMA BLANCA / CORTOPUNZANTE,05/07/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-07-05,2010,7
NARIÑO,PASTO,52001000,ARMA BLANCA / CORTOPUNZANTE,10/07/2010,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2010-07-10,2010,7
