departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,05/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-05-03,hurto
ANTIOQUIA,Amagá,5030000,NO REPORTADO,03/01/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-01,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,04/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-03,hurto
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,05/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-05-03,hurto
CALDAS,Manizales (CT),17001000,NO REPORTADO,05/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-05-03,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,09/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-09-03,hurto
META,Villavicencio (CT),50001000,NO REPORTADO,05/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-05-03,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,02/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-02-03,hurto
CALDAS,Manizales (CT),17001000,NO REPORTADO,01/02/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-01-02,hurto
MAGDALENA,Pivijay,47551000,NO REPORTADO,11/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-11-03,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,01/02/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-01-02,hurto
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,11/01/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-11-01,hurto
TOLIMA,Guamo,73319000,NO REPORTADO,10/01/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-01,hurto
BOYACÁ,Puerto Boyacá,15572000,NO REPORTADO,12/05/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-12-05,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,01/09/2013,MASCULINO,MENORES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-01-09,hurto
ANTIOQUIA,Puerto Berrío,5579000,NO REPORTADO,04/12/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-04-12,hurto
VALLE,Guadalajara de Buga,76111000,NO REPORTADO,10/10/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-10-10,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,02/07/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-02-07,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,12/07/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-12-07,hurto
CALDAS,Manizales (CT),17001000,NO REPORTADO,08/02/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-08-02,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,04/09/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-04-09,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,03/10/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-03-10,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,02/07/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-02-07,hurto
BOYACÁ,Puerto Boyacá,15572000,NO REPORTADO,09/04/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-09-04,hurto
ANTIOQUIA,Caldas,5129000,NO REPORTADO,01/02/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-01-02,hurto
CÓRDOBA,Chimá,23168000,NO REPORTADO,02/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-02-03,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,05/09/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-05-09,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,04/07/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-04-07,hurto
HUILA,Rivera,41615000,NO REPORTADO,10/10/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-10-10,hurto
CÓRDOBA,Ayapel,23068000,NO REPORTADO,01/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-01-03,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,12/06/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-12-06,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,02/10/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-02-10,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,12/09/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-12-09,hurto
CUNDINAMARCA,Soacha,25754000,NO REPORTADO,07/02/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-07-02,hurto
CÓRDOBA,Cotorra,23300000,NO REPORTADO,01/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-01-03,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,11/10/2013,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2013-11-10,hurto
ANTIOQUIA,Itagui,5360000,NO REPORTADO,02/03/2013,MASCULINO,MENORES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-02-03,hurto
CÓRDOBA,Montelíbano,23466000,NO REPORTADO,05/03/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-05-03,hurto
NORTE DE SANTANDER,Villa del Rosario,54874000,NO REPORTADO,09/11/2013,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-09-11,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,09/09/2013,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2013-09-09,hurto
META,Villavicencio (CT),50001000,NO REPORTADO,10/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-03,hurto
ANTIOQUIA,Salgar,5642000,NO REPORTADO,11/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-11-03,hurto
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,07/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-05,hurto
MAGDALENA,Ciénaga,47189000,NO REPORTADO,04/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-05,hurto
