"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"PUTUMAYO","Mocoa (CT)","86001000","NO REPORTADO","04/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"CASANARE","Aguazul","85010000","NO REPORTADO","23/02/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"CASANARE","Aguazul","85010000","NO REPORTADO","11/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"VALLE","Palmira","76520000","NO REPORTADO","04/03/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"VALLE","Palmira","76520000","NO REPORTADO","04/03/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"CÓRDOBA","Montería (CT)","23001000","NO REPORTADO","05/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cartago","76147000","NO REPORTADO","01/01/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"GUAJIRA","Maicao","44430000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"GUAJIRA","Maicao","44430000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"TOLIMA","Guamo","73319000","NO REPORTADO","07/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"RISARALDA","Santa Rosa de Cabal","66682000","NO REPORTADO","06/01/2010","MASCULINO","MENORES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","06/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SUCRE","Sincelejo (CT)","70001000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Piedecuesta","68547000","NO REPORTADO","04/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","04/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"SANTANDER","Floridablanca","68276000","NO REPORTADO","06/01/2010","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CUNDINAMARCA","Fusagasugá","25290000","NO REPORTADO","02/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ANTIOQUIA","Medellín (CT)","05001005","NO REPORTADO","02/01/2010","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ANTIOQUIA","Medellín (CT)","05001005","NO REPORTADO","02/01/2010","MASCULINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Neiva (CT)","41001000","NO REPORTADO","03/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 218. PORNOGRAFÍA CON MENORES"
"VALLE","Cali (CT)","76001000","NO REPORTADO","02/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"VALLE","Cali (CT)","76001000","NO REPORTADO","05/01/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"TOLIMA","Ibagué (CT)","73001000","NO REPORTADO","06/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Usiacurí","08849000","NO REPORTADO","28/03/2010","FEMENINO","ADULTOS","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
