group1,group2,meandiff,p-adj,lower,upper,reject,dashboard,grupo_comparado,interpretacion
AMAZONAS,ANTIOQUIA,205.9167,0.0,132.4104,279.423,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
AMAZONAS,ARAUCA,27.4167,0.9999,-46.0896,100.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,ATLANTICO,37.0833,0.9849,-36.423,110.5896,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,BOGOTA D.C.,61.0833,0.2803,-12.423,134.5896,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,BOLIVAR,40.9167,0.9498,-32.5896,114.423,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,BOYACA,17.4167,1.0,-56.0896,90.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CALDAS,51.4167,0.6511,-22.0896,124.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CAQUETA,24.45,1.0,-51.94,100.84,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CASANARE,13.25,1.0,-60.2563,86.7563,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CAUCA,21.4167,1.0,-52.0896,94.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CESAR,47.85,0.8413,-28.54,124.24,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CHOCO,5.75,1.0,-67.7563,79.2563,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CORDOBA,16.4167,1.0,-57.0896,89.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CUNDINAMARCA,69.05,0.1441,-7.34,145.44,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,GUAVIARE,3.85,1.0,-72.54,80.24,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,HUILA,32.9167,0.9974,-40.5896,106.423,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,LA GUAJIRA,20.4167,1.0,-53.0896,93.923,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,MAGDALENA,40.75,0.952,-32.7563,114.2563,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,META,37.25,0.984,-36.2563,110.7563,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,NARINO,29.9167,0.9995,-43.5896,103.423,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,NORTE DE SANTANDER,69.9167,0.0877,-3.5896,143.423,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,PUTUMAYO,22.65,1.0,-53.74,99.04,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,QUINDIO,22.05,1.0,-54.34,98.44,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,RISARALDA,51.0833,0.6644,-22.423,124.5896,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,SAN ANDRES ISLAS,-0.4167,1.0,-87.3905,86.5572,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,SANTANDER,39.75,0.9639,-33.7563,113.2563,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,SUCRE,16.05,1.0,-60.34,92.44,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,TOLIMA,35.9167,0.9903,-37.5896,109.423,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,VALLE DEL CAUCA,175.0833,0.0,101.577,248.5896,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
AMAZONAS,VICHADA,-0.75,1.0,-99.3691,97.8691,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ANTIOQUIA,ARAUCA,-178.5,0.0,-244.246,-112.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,ATLANTICO,-168.8333,0.0,-234.5794,-103.0873,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,BOGOTA D.C.,-144.8333,0.0,-210.5794,-79.0873,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,BOLIVAR,-165.0,0.0,-230.746,-99.254,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,BOYACA,-188.5,0.0,-254.246,-122.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CALDAS,-154.5,0.0,-220.246,-88.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CAQUETA,-181.4667,0.0,-250.4217,-112.5116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CASANARE,-192.6667,0.0,-258.4127,-126.9206,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CAUCA,-184.5,0.0,-250.246,-118.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CESAR,-158.0667,0.0,-227.0217,-89.1116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CHOCO,-200.1667,0.0,-265.9127,-134.4206,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CORDOBA,-189.5,0.0,-255.246,-123.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,CUNDINAMARCA,-136.8667,0.0,-205.8217,-67.9116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,GUAVIARE,-202.0667,0.0,-271.0217,-133.1116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,HUILA,-173.0,0.0,-238.746,-107.254,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,LA GUAJIRA,-185.5,0.0,-251.246,-119.754,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,MAGDALENA,-165.1667,0.0,-230.9127,-99.4206,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,META,-168.6667,0.0,-234.4127,-102.9206,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,NARINO,-176.0,0.0,-241.746,-110.254,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,NORTE DE SANTANDER,-136.0,0.0,-201.746,-70.254,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,PUTUMAYO,-183.2667,0.0,-252.2217,-114.3116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,QUINDIO,-183.8667,0.0,-252.8217,-114.9116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,RISARALDA,-154.8333,0.0,-220.5794,-89.0873,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,SAN ANDRES ISLAS,-206.3333,0.0,-286.8555,-125.8112,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,SANTANDER,-166.1667,0.0,-231.9127,-100.4206,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,SUCRE,-189.8667,0.0,-258.8217,-120.9116,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,TOLIMA,-170.0,0.0,-235.746,-104.254,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ANTIOQUIA,VALLE DEL CAUCA,-30.8333,0.9946,-96.5794,34.9127,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ANTIOQUIA,VICHADA,-206.6667,0.0,-299.6456,-113.6877,True,Homicidios,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
ARAUCA,ATLANTICO,9.6667,1.0,-56.0794,75.4127,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,BOGOTA D.C.,33.6667,0.9817,-32.0794,99.4127,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,BOLIVAR,13.5,1.0,-52.246,79.246,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,BOYACA,-10.0,1.0,-75.746,55.746,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CALDAS,24.0,0.9999,-41.746,89.746,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CAQUETA,-2.9667,1.0,-71.9217,65.9884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CASANARE,-14.1667,1.0,-79.9127,51.5794,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CAUCA,-6.0,1.0,-71.746,59.746,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CESAR,20.4333,1.0,-48.5217,89.3884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CHOCO,-21.6667,1.0,-87.4127,44.0794,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CORDOBA,-11.0,1.0,-76.746,54.746,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,CUNDINAMARCA,41.6333,0.8852,-27.3217,110.5884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,GUAVIARE,-23.5667,1.0,-92.5217,45.3884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,HUILA,5.5,1.0,-60.246,71.246,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,LA GUAJIRA,-7.0,1.0,-72.746,58.746,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,MAGDALENA,13.3333,1.0,-52.4127,79.0794,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,META,9.8333,1.0,-55.9127,75.5794,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,NARINO,2.5,1.0,-63.246,68.246,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,NORTE DE SANTANDER,42.5,0.7956,-23.246,108.246,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,PUTUMAYO,-4.7667,1.0,-73.7217,64.1884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
ARAUCA,QUINDIO,-5.3667,1.0,-74.3217,63.5884,False,Homicidios,departamento,No se detecta una diferencia significativa entre estos grupos.
