group1,group2,meandiff,p-adj,lower,upper,reject,dashboard,grupo_comparado,interpretacion
AMAZONAS,ANTIOQUIA,3.184,0.001,0.6512,5.7168,True,Hurto de vehiculos,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
AMAZONAS,ARAUCA,0.125,1.0,-3.041,3.291,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,ATLANTICO,0.8942,1.0,-1.6484,3.4368,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,BOGOTA,2.7411,0.0171,0.2026,5.2795,True,Hurto de vehiculos,departamento,La comparacion sugiere una diferencia significativa entre estos grupos.
AMAZONAS,BOLIVAR,0.6543,1.0,-1.9048,3.2134,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,BOYACA,0.2,1.0,-2.8418,3.2418,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CALDAS,0.0,1.0,-2.8933,2.8933,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CAQUETA,0.1765,1.0,-2.4835,2.8364,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CASANARE,0.0976,1.0,-2.5331,2.7283,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CAUCA,1.5546,0.8873,-0.9806,4.0899,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CESAR,0.716,1.0,-1.8431,3.2752,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CHOCO,0.3,1.0,-2.3048,2.9048,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CORDOBA,0.2222,1.0,-2.4283,2.8727,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,CUNDINAMARCA,0.4407,1.0,-2.146,3.0274,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,GUAJIRA,0.4918,1.0,-2.0916,3.0752,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,HUILA,2.2451,0.1861,-0.2987,4.7889,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,MAGDALENA,0.3654,1.0,-2.2349,2.9657,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
AMAZONAS,META,1.0227,0.9997,-1.5305,3.5759,False,Hurto de vehiculos,departamento,No se detecta una diferencia significativa entre estos grupos.
